# vertices: 51777, # edges: 107963
Number of sequences: 10000.
Loaded sequence batch successfully in 0.00683904s.
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 80, alignment cost:0, forward num cells:52463, reverse num cells: 68196
Sequence length: 80, alignment cost:0, forward num cells:68196, reverse num cells: 52463
Sequence length: 98, alignment cost:0, forward num cells:85100, reverse num cells: 81895
Sequence length: 97, alignment cost:0, forward num cells:93281, reverse num cells: 93939
Sequence length: 68, alignment cost:0, forward num cells:65895, reverse num cells: 52028
Sequence length: 67, alignment cost:0, forward num cells:52151, reverse num cells: 65784
Sequence length: 80, alignment cost:0, forward num cells:52463, reverse num cells: 68196
Sequence length: 80, alignment cost:0, forward num cells:68196, reverse num cells: 52463
Sequence length: 108, alignment cost:0, forward num cells:121810, reverse num cells: 127914
Sequence length: 107, alignment cost:0, forward num cells:99734, reverse num cells: 94959
Sequence length: 132, alignment cost:0, forward num cells:114740, reverse num cells: 128038
Sequence length: 130, alignment cost:0, forward num cells:128028, reverse num cells: 120507
Sequence length: 137, alignment cost:0, forward num cells:114754, reverse num cells: 128071
Sequence length: 136, alignment cost:0, forward num cells:128067, reverse num cells: 118167
Sequence length: 125, alignment cost:0, forward num cells:128003, reverse num cells: 121281
Sequence length: 125, alignment cost:0, forward num cells:121280, reverse num cells: 128003
Sequence length: 140, alignment cost:0, forward num cells:128102, reverse num cells: 116023
Sequence length: 141, alignment cost:0, forward num cells:116555, reverse num cells: 128107
Sequence length: 91, alignment cost:0, forward num cells:79285, reverse num cells: 52028
Sequence length: 90, alignment cost:0, forward num cells:73548, reverse num cells: 52808
Sequence length: 88, alignment cost:0, forward num cells:52047, reverse num cells: 71949
Sequence length: 88, alignment cost:0, forward num cells:71949, reverse num cells: 52047
Sequence length: 130, alignment cost:0, forward num cells:128028, reverse num cells: 120507
Sequence length: 132, alignment cost:0, forward num cells:114740, reverse num cells: 128038
Sequence length: 88, alignment cost:0, forward num cells:52047, reverse num cells: 71949
Sequence length: 88, alignment cost:0, forward num cells:71949, reverse num cells: 52047
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 151, alignment cost:0, forward num cells:128210, reverse num cells: 124438
Sequence length: 151, alignment cost:0, forward num cells:124438, reverse num cells: 128210
Sequence length: 146, alignment cost:0, forward num cells:128148, reverse num cells: 111101
Sequence length: 146, alignment cost:0, forward num cells:111101, reverse num cells: 128148
Sequence length: 88, alignment cost:0, forward num cells:71949, reverse num cells: 52047
Sequence length: 88, alignment cost:0, forward num cells:52047, reverse num cells: 71949
Sequence length: 38, alignment cost:0, forward num cells:52042, reverse num cells: 53269
Sequence length: 38, alignment cost:0, forward num cells:53269, reverse num cells: 52042
Sequence length: 107, alignment cost:0, forward num cells:99734, reverse num cells: 94959
Sequence length: 108, alignment cost:0, forward num cells:121810, reverse num cells: 127914
Sequence length: 73, alignment cost:0, forward num cells:65772, reverse num cells: 52496
Sequence length: 73, alignment cost:0, forward num cells:52496, reverse num cells: 65800
Sequence length: 66, alignment cost:0, forward num cells:65147, reverse num cells: 52744
Sequence length: 66, alignment cost:0, forward num cells:52744, reverse num cells: 65147
Sequence length: 100, alignment cost:0, forward num cells:95728, reverse num cells: 99169
Sequence length: 96, alignment cost:0, forward num cells:92827, reverse num cells: 93274
Sequence length: 149, alignment cost:1, forward num cells:184626, reverse num cells: 161688
Sequence length: 149, alignment cost:2, forward num cells:300303, reverse num cells: 354512
Sequence length: 149, alignment cost:1, forward num cells:184626, reverse num cells: 161188
Sequence length: 149, alignment cost:1, forward num cells:161188, reverse num cells: 184626
Sequence length: 129, alignment cost:0, forward num cells:99314, reverse num cells: 97928
Sequence length: 131, alignment cost:0, forward num cells:96734, reverse num cells: 99324
Sequence length: 83, alignment cost:0, forward num cells:73562, reverse num cells: 77108
Sequence length: 83, alignment cost:0, forward num cells:77108, reverse num cells: 73562
Sequence length: 149, alignment cost:0, forward num cells:106754, reverse num cells: 99491
Sequence length: 149, alignment cost:0, forward num cells:99491, reverse num cells: 106754
Sequence length: 115, alignment cost:0, forward num cells:102201, reverse num cells: 99242
Sequence length: 116, alignment cost:0, forward num cells:127956, reverse num cells: 120261
Sequence length: 106, alignment cost:0, forward num cells:99193, reverse num cells: 98810
Sequence length: 107, alignment cost:0, forward num cells:92840, reverse num cells: 89825
Sequence length: 151, alignment cost:0, forward num cells:73812, reverse num cells: 81213
Sequence length: 150, alignment cost:0, forward num cells:92708, reverse num cells: 99496
Sequence length: 113, alignment cost:0, forward num cells:95606, reverse num cells: 104042
Sequence length: 113, alignment cost:0, forward num cells:104042, reverse num cells: 95606
Sequence length: 133, alignment cost:0, forward num cells:92057, reverse num cells: 99332
Sequence length: 132, alignment cost:0, forward num cells:99327, reverse num cells: 97847
Sequence length: 60, alignment cost:0, forward num cells:61752, reverse num cells: 52476
Sequence length: 59, alignment cost:0, forward num cells:52744, reverse num cells: 60703
Sequence length: 85, alignment cost:0, forward num cells:73838, reverse num cells: 77699
Sequence length: 85, alignment cost:0, forward num cells:75024, reverse num cells: 78644
Sequence length: 73, alignment cost:0, forward num cells:65772, reverse num cells: 52496
Sequence length: 72, alignment cost:0, forward num cells:68223, reverse num cells: 71871
Sequence length: 83, alignment cost:0, forward num cells:77108, reverse num cells: 73562
Sequence length: 83, alignment cost:0, forward num cells:73562, reverse num cells: 77108
Sequence length: 59, alignment cost:0, forward num cells:52744, reverse num cells: 60703
Sequence length: 60, alignment cost:0, forward num cells:61752, reverse num cells: 52476
Sequence length: 83, alignment cost:0, forward num cells:77108, reverse num cells: 73562
Sequence length: 83, alignment cost:0, forward num cells:73562, reverse num cells: 77108
Sequence length: 137, alignment cost:0, forward num cells:94918, reverse num cells: 103080
Sequence length: 138, alignment cost:1, forward num cells:176813, reverse num cells: 153612
Sequence length: 151, alignment cost:0, forward num cells:128210, reverse num cells: 124438
Sequence length: 151, alignment cost:0, forward num cells:91443, reverse num cells: 103208
Sequence length: 151, alignment cost:0, forward num cells:91443, reverse num cells: 103208
Sequence length: 151, alignment cost:0, forward num cells:53527, reverse num cells: 75775
Sequence length: 118, alignment cost:0, forward num cells:106835, reverse num cells: 102401
Sequence length: 118, alignment cost:0, forward num cells:121062, reverse num cells: 142031
Sequence length: 119, alignment cost:0, forward num cells:108702, reverse num cells: 102404
Sequence length: 118, alignment cost:0, forward num cells:121062, reverse num cells: 142031
Sequence length: 94, alignment cost:0, forward num cells:79056, reverse num cells: 52344
Sequence length: 94, alignment cost:0, forward num cells:83089, reverse num cells: 69571
Sequence length: 94, alignment cost:0, forward num cells:83089, reverse num cells: 69571
Sequence length: 96, alignment cost:0, forward num cells:91777, reverse num cells: 90650
Sequence length: 70, alignment cost:0, forward num cells:67890, reverse num cells: 52283
Sequence length: 69, alignment cost:0, forward num cells:57767, reverse num cells: 69597
Sequence length: 130, alignment cost:0, forward num cells:96805, reverse num cells: 102461
Sequence length: 130, alignment cost:0, forward num cells:121120, reverse num cells: 116576
Sequence length: 85, alignment cost:0, forward num cells:75502, reverse num cells: 51950
Sequence length: 84, alignment cost:0, forward num cells:74043, reverse num cells: 76809
Sequence length: 64, alignment cost:0, forward num cells:62729, reverse num cells: 52344
Sequence length: 64, alignment cost:0, forward num cells:65343, reverse num cells: 51899
Sequence length: 82, alignment cost:0, forward num cells:74333, reverse num cells: 71462
Sequence length: 83, alignment cost:0, forward num cells:74860, reverse num cells: 52392
Sequence length: 133, alignment cost:0, forward num cells:121146, reverse num cells: 118716
Sequence length: 133, alignment cost:0, forward num cells:98669, reverse num cells: 102486
Sequence length: 125, alignment cost:0, forward num cells:121723, reverse num cells: 142927
Sequence length: 124, alignment cost:0, forward num cells:132636, reverse num cells: 148377
Sequence length: 84, alignment cost:0, forward num cells:74543, reverse num cells: 52504
Sequence length: 84, alignment cost:0, forward num cells:73952, reverse num cells: 51913
Sequence length: 150, alignment cost:0, forward num cells:113041, reverse num cells: 143145
Sequence length: 150, alignment cost:0, forward num cells:121303, reverse num cells: 114312
Sequence length: 61, alignment cost:0, forward num cells:64148, reverse num cells: 51899
Sequence length: 61, alignment cost:0, forward num cells:62514, reverse num cells: 51913
Sequence length: 124, alignment cost:0, forward num cells:132636, reverse num cells: 148377
Sequence length: 124, alignment cost:0, forward num cells:119843, reverse num cells: 142922
Sequence length: 150, alignment cost:0, forward num cells:82452, reverse num cells: 82207
Sequence length: 150, alignment cost:0, forward num cells:113920, reverse num cells: 143145
Sequence length: 124, alignment cost:0, forward num cells:132636, reverse num cells: 148377
Sequence length: 125, alignment cost:0, forward num cells:121723, reverse num cells: 142927
Sequence length: 80, alignment cost:0, forward num cells:72607, reverse num cells: 52392
Sequence length: 79, alignment cost:0, forward num cells:74118, reverse num cells: 71606
Sequence length: 61, alignment cost:0, forward num cells:62514, reverse num cells: 51913
Sequence length: 61, alignment cost:0, forward num cells:64148, reverse num cells: 51899
Sequence length: 150, alignment cost:0, forward num cells:113041, reverse num cells: 143145
Sequence length: 151, alignment cost:0, forward num cells:87647, reverse num cells: 84551
Sequence length: 150, alignment cost:0, forward num cells:113041, reverse num cells: 143145
Sequence length: 151, alignment cost:0, forward num cells:87647, reverse num cells: 84551
Sequence length: 93, alignment cost:0, forward num cells:91562, reverse num cells: 81667
